Pulses,Source Type,Subject
2470,mixed,S04
1324,grip,S04
857,mixed,S04
857,grip,S04
454,grip,S04
978,grip,S04
439,pinch,S04
2729,mixed,S04
977,grip,S04
1697,grip,S04
2322,grip,S04
1037,grip,S04
917,grip,S04
653,grip,S04
1300,grip,S04
822,grip,S04
676,grip,S04
1851,grip,S04
656,grip,S04
545,grip,S04
783,grip,S04
484,grip,S05
407,grip,S05
438,grip,S05
788,grip,S06
920,mixed,S06
1077,mixed,S06
499,pinch,S06
813,mixed,S06
610,mixed,S06
1027,mixed,S06
702,grip,S06
1376,pinch,S07
1981,mixed,S07
318,pinch,S07
858,pinch,S07
2012,grip,S07
1368,grip,S07
1267,mixed,S07
1724,grip,S07
2323,grip,S07
450,pinch,S07
543,pinch,S07
879,pinch,S07
1857,grip,S07
719,grip,S07
